bigram,bigram_frequency
نہ ہوا,46
کیا ہے,45
ہے کہ,40
نہ ہو,34
میں ہے,29
ہم نے,28
کے لیے,25
مجھ کو,25
نہیں آتی,23
کہیں اُس,23
اُس کو,23
ہوں میں,23
کیوں نہ,23
نہیں ہے,22
ہے یہ,22
میں بھی,21
جل گیا,20
میں نے,19
دل کا,19
دل میں,18
سے گزر,18
اس کی,17
ہو گئیں,17
گے کیا,16
ہے تو,16
بھی نہیں,16
دیکھتے ہیں,15
ہے وہ,15
تجھ سے,15
کیوں ہو,15
یا رب,15
مرے آگے,15
ہو تو,14
کہ یوں,14
نہ ہوتا,14
ہوا ہے,13
کو میں,13
میں وہ,13
میں ہوں,13
تو کیا,13
کا نہ,12
کی ہے,12
مجھ سے,12
میں تو,12
کئے ہوئے,12
کہ میں,12
ہم کو,12
نہیں ہوں,12
ہے یا,12
دیکھ لیا,12
کے دیکھ,12
ہے نہ,12
میں نہ,12
کی طرح,12
آ گیا,11
تو نے,11
نہ کر,11
اور بھی,11
ہی کیوں,11
ہر اک,11
سے ہے,11
رات بھر,11
جس کے,11
کچھ تو,11
نہ پوچھ,11
ہے مجھے,11
ہوتا ہے,11
دل کی,10
بھی ہے,10
ہوتا تو,10
جس کو,10
کو نہ,10
کو دیکھتے,10
کیا کیا,10
اس کے,10
پسند آیا,10
کو بھی,10
ہے جو,10
دل کو,10
یاد آیا,10
اس کو,10
کے پانو,10
کو یہ,10
آخر شب,9
دل سے,9
ہوتے تک,9
و دل,9
ان کی,9
تم نے,9
ہم سے,9
سے دل,9
میں نہیں,9
جو نہ,9
ہے دل,9
آتا ہے,9
میں خاک,9
نہ تھے,9
نہ بنے,9
تھا کہ,9
پردے میں,9
کس سے,9
گھر میں,9
دل و,9
کر رہا,9
ہو نہ,9
آتی ہے,8
کہ ہے,8
کہیں جسے,8
دیکھ کر,8
نہیں رہا,8
کا ہے,8
بزم میں,8
کیا ہوتا,8
ہوں اور,8
کرتا ہوں,8
درد کی,8
ہیں کہ,8
کیے ہوئے,8
رہا ہے,8
غم سے,8
بھی ہیں,8
تو پھر,8
تو خدا,8
خواب میں,8
مر گیا,8
جس نے,8
جس کا,8
چاہتا ہوں,8
مرد تھا,8
خاک نہیں,8
عشق و,8
کہتے ہو,8
کرے ہے,8
کہ یہ,8
عشق کی,8
ہیں وہ,8
بھی ہو,8
سے میں,8
اس کا,8
ہے اسد,7
سے ہو,7
تسلی نہ,7
اب اس,7
کے پاس,7
ہے ہم,7
کا کیا,7
ہے اب,7
نے نہ,7
جو تو,7
میں پھر,7
کہ دل,7
نہیں باقی,7
تھا یہ,7
خدا کی,7
تھا کچھ,7
تو ہے,7
دل بھی,7
تجھ کو,7
تیرا ہے,7
جہاں میں,7
کے ساتھ,7
ان کو,7
جس سے,7
اس قدر,7
دل ہے,7
تھے ہم,7
پہ یارو,7
نے کیا,7
نہیں ہوتا,7
نہ آئیں,7
رہی رات,7
اس سے,7
میں کیا,7
کہتے ہیں,7
تو دے,7
ہوئی ہے,7
راز کا,7
ایسے نہیں,6
گزرے تھا,6
مزا پایا,6
پر نہیں,6
پیچ و,6
کس کا,6
تھا میں,6
اور سہی,6
نہیں ھوں,6
کو کبھی,6
ہے میں,6
رہے ہیں,6
کا ایک,6
میں اس,6
کچھ نہ,6
نہیں کرتے,6
تھا واں,6
دل پہ,6
کچھ بھی,6
کیجے ہم,6
ہر رنگ,6
نہیں تھا,6
بھی راضی,6
کا یاں,6
گے ہم,6
نکلا دل,6
کیا ہوا,6
تھا اب,6
ہو کہ,6
مشکل ہے,6
وہ بھی,6
گیا جو,6
دست و,6
پر ہے,6
یا میرا,6
تم کو,6
غیر از,6
جلوہٴ گل,6
ہو وہ,6
غیر سے,6
کہ وہ,6
نہ وہ,6
ہائے وفا,6
مے خانہ,6
جاتی ہے,6
تو نہیں,6
باز کا,6
تو نہ,6
زندگی میں,6
ہے کس,6
ہائے راز,6
ایک بار,6
ہے بے,6
چمن میں,6
کو خدا,6
سے پہلے,6
دار تھا,6
ہے غیر,6
کس کو,6
ہر ایک,6
نے چاہا,6
ہے غالب,6
دل نہیں,6
نسخہ ہائے,6
نظر میں,6
گر نہیں,6
چاہا تھا,6
کی دوا,6
ہے اس,6
نہ کہیں,6
ہے تیری,5
رہگزر میں,5
عشق سے,5
سے کوئی,5
ہے پردہ,5
خاک کہ,5
کو تو,5
کی شکایت,5
لب سے,5
کو کیا,5
کو کہ,5
تو ہی,5
بھی جو,5
کا وہ,5
ہے جس,5
تو سہی,5
ہے اے,5
عشق کو,5
ہیں ہم,5
دنیا میں,5
کو ہو,5
کے بعد,5
کا مجھے,5
ہم تو,5
اقبال کے,5
سمجھ رہے,5
اے خدا,5
خدا کے,5
ہم بھی,5
ہم جو,5
عشق کے,5
دو عالم,5
عریاں نکلا,5
دو چار,5
غالب کہ,5
وہ دل,5
ہے دم,5
کا کہ,5
کہ جو,5
میں کچھ,5
ہے پهر,5
میں یہ,5
منہ سے,5
پر ہوا,5
کہ ہم,5
کہ کیا,5
کرتا ہے,5
کرتی ہے,5
راہ میں,5
ہے کچھ,5
ہو جس,5
سے بے,5
باقی ہے,5
و نظر,5
خوں ہے,5
کی موت,5
کرنے میں,5
لیکن اب,5
کہاں سے,5
گل سے,5
آ کے,5
کی بہار,5
ہو گیا,5
سے ہم,5
میں میری,5
سے وہ,5
بوئے گل,5
ہے میرے,5
جانا کہ,5
سے نہ,5
میں ہیں,5
ہے میری,5
سے ہیں,5
لے کے,5
پایا درد,5
میں فقط,5
ہوتا کوئی,5
ہو یہ,5
نے اک,5
چارہ گر,5
کا یہ,5
رہا تھا,5
کسی کے,5
کا تو,5
آپ سے,5
دل تا,5
کچھ اور,5
تھا تھا,5
در پہ,5
غم گسار,5
نہ تھا,5
میں آ,5
ناصح نے,5
کئے ہوے,5
جائیں گے,5
ہی سہی,5
کس طرح,5
و گل,5
تھا وہ,5
اس نے,5
ہوں کہ,5
کبھی تو,5
کا دل,5
میں کہ,5
ہے سر,5
بنے گا,4
وہی دل,4
ساحل دریائے,4
ابھی فرد,4
نبرد تھا,4
ہے مگر,4
پر اتنا,4
لگا ہوا,4
خستہ جاں,4
نجات پائے,4
تغافل میں,4
خط سے,4
خدا ہوتا,4
کو ان,4
ہے ساز,4
خس و,4
کرے عجب,4
آیا ہے,4
خوشی سے,4
مگر یہ,4
پائے کیوں,4
نبرد پیشہ,4
تم ہو,4
کے پردے,4
خیال ابھی,4
خیال بیاباں,4
کس کی,4
ہر ذرہ,4
احباب چارہ,4
کسی کو,4
درد تھا,4
مانا کہ,4
ساز کا,4
تن سے,4
کر نہ,4
موت سے,4
یہی ہے,4
ہے حق,4
و ساغر,4
میں رہیں,4
نے زیست,4
ہوں ایک,4
کیا خوب,4
جس قدر,4
اڑنے سے,4
کہا جو,4
بادہ خوار,4
ہونے نے,4
کہاں کہ,4
میں یا,4
تیرا ہی,4
ہوتا یہ,4
ہوتا ڈبویا,4
و لالہ,4
کہ مر,4
سے تو,4
کیا غم,4
میں دونوں,4
کیا نہ,4
کیا وہ,4
سے بھی,4
نے بارہا,4
کہ ساحل,4
سے باہر,4
تھا یاں,4
تھا گلیوں,4
ہوں ورنہ,4
کیا کریں,4
میں جو,4
غمِ عشق,4
میں غالبؔ,4
میں ہم,4
وہ شوخ,4
فرمائیں گے,4
جاتے ہیں,4
کی دل,4
ہوا اڑنے,4
سے پیشتر,4
ایک ہی,4
ایک ہیں,4
ہوئے پهر,4
اگر نہ,4
کی نظر,4
کی طلب,4
اے دل,4
سے کہ,4
نے کہ,4
میں کبھی,4
ہوا دل,4
ہو یا,4
نے وہ,4
میں میرا,4
ہوا میں,4
بات پر,4
کی تمنا,4
جانتا ہوں,4
کی کیا,4
میں مرگ,4
ہوا ہوں,4
سے نجات,4
اگر گیا,4
و خاشاک,4
جاں کی,4
فرد فرد,4
فرد تھا,4
کیا کم,4
جو حجاب,4
میں جاں,4
وفا سے,4
وقت ہے,4
اقبال کا,4
کو ہے,4
وفا کر,4
وفا کا,4
تو یوں,4
حریفِ دمِ,4
کیا کہ,4
نہیں کوئی,4
کیوں ہے,4
حجاب ہے,4
ہیں موت,4
حالِ دل,4
کوئی کشمکش,4
حق مغفرت,4
سن کے,4
ہم دل,4
ہے اور,4
ہے اگر,4
حیات و,4
وہ اب,4
ہم بے,4
تو وہی,4
اصل میں,4
ہے بہ,4
کے بھی,4
نہیں معلوم,4
بسمل سے,4
ہے تیرا,4
کے در,4
خدا تھا,4
سوز و,4
ان سے,4
ورنہ جو,4
غم اصل,4
اور ہے,4
کیا کہیں,4
اور کیا,4
کہ بن,4
تھا موجِ,4
کہ ایک,4
میں بے,4
کہ اس,4
کیا ہم,4
کھٹکا لگا,4
تھا سو,4
تھا زندگی,4
ہیں اور,4
تھا دل,4
واں وہ,4
ان کے,4
تھا جاتی,4
ہیں تو,4
نیم کش,4
جگر کہ,4
تھا تالیف,4
تھا اے,4
تھا احباب,4
کیفیت ہے,4
سکتے ہیں,4
وحشت نہ,4
جہاں اور,4
قفس میں,4
انجمن میں,4
جہاں سے,4
کيا ہے,4
کم ہے,4
میں کس,4
پہ بھی,4
بے کفن,4
عجب آزاد,4
گل و,4
بے اثر,4
دل کہاں,4
دونوں ایک,4
ہے کوئی,4
تا جگر,4
آگے گرد,4
گیا ہے,4
نقشِ قدم,4
رنگ و,4
پوچھ حال,4
یار سے,4
آدمی غم,4
گلیوں میں,4
بھی خیال,4
نہ نکلا,4
رنگ زرد,4
کا درد,4
محرم نہیں,4
مغفرت کرے,4
کاوش کا,4
کا مزا,4
مرنے کی,4
دل کہ,4
پردہ ہے,4
مرگ کا,4
گیا میں,4
گیا دل,4
یہ بات,4
بے دوا,4
مشکل پسند,4
دیا تھا,4
تالیف نسخہ,4
ڈبویا مجھ,4
تری بزم,4
بھی نہ,4
بے قرار,4
گل آگے,4
زرد تھا,4
رکھتے ہیں,4
روشن ہو,4
کا کھٹکا,4
گیا تو,4
آپ ہی,4
دل اگر,4
دہر میں,4
گر کو,4
دھمکی میں,4
آئے کیوں,4
دیکھا تو,4
دل نہ,4
عشق کا,4
نظر نہیں,4
گرد تھا,4
کا رنگ,4
آزاد مرد,4
زنداں میں,4
یاں ورنہ,4
پہلے آدمی,4
رہے گی,4
بھی اگر,4
دوا پائی,4
رہے ہو,4
پیدا کر,4
دوا پایا,4
نہ دی,4
یہ وہ,4
آزما پایا,4
منظور نہیں,4
دریائے خوں,4
نہ دے,4
نورد تھا,4
پیشتر بھی,4
یہ کیا,4
بیاباں نورد,4
ناخن پہ,3
مدت کہ,3
کو ہونے,3
دنیا جل,3
رہے ہر,3
نہ دبا,3
مدت سے,3
کیا کیجیے,3
تو یہ,3
آتے ہیں,3
بہت کچھ,3
تھا نہ,3
ہی نوا,3
کیا گر,3
ہی نہیں,3
ہے آئینہ,3
قدر یعنی,3
ہنوز ناخن,3
ہی سے,3
حسن اور,3
و ہشیاری,3
برگ گل,3
پڑا پایا,3
بے نیازی,3
یک عالم,3
سینہ کہ,3
و ہم,3
کہ اگر,3
یک جنبشِ,3
پڑا حساب,3
اور سوئے,3
جو قطرہ,3
سے آتی,3
کہ تھا,3
دیتے ہیں,3
دیا جو,3
یاروں کا,3
دیا ہے,3
و پرکاری,3
بے سرور,3
جو تری,3
ہے ابھی,3
پھر لگا,3
غمِ روزگار,3
چھڑکا آپ,3
لالہ و,3
مصر و,3
ہو تم,3
دیدار یار,3
ہوں مگر,3
غنچہ پھر,3
کو کھینچے,3
حسن کو,3
بھی مِرا,3
کو ہمارا,3
غربت میں,3
لاشِ بے,3
میں جا,3
وا ہو,3
دنداں نکلا,3
نے اپنا,3
غمِ الفت,3
شب میں,3
کو ہم,3
کہ جس,3
تھا کس,3
بھی میں,3
میں جب,3
میں جرأت,3
ناتوانی سے,3
تھا کم,3
کھینچے پھرو,3
یوں ہوتا,3
بھی عریاں,3
نہ تھی,3
پر نمک,3
نہیں کہ,3
کا خیال,3
وعدہ نہ,3
کوچے سے,3
کیوں رات,3
سوئے غیر,3
نہیں یہ,3
کا جہاں,3
تک ہر,3
سکتا نہیں,3
معنی نہ,3
محفل جو,3
سکتا کہ,3
سکتا ہے,3
یوں بے,3
یوں تو,3
جی میں,3
مغرب کے,3
حال دل,3
کوئی پوچھے,3
رہی نہ,3
ہم پہ,3
ہیں نظر,3
قید حیات,3
توڑا جو,3
حجاب میں,3
وصل و,3
یعنی ہم,3
قیس تصویر,3
برا نہ,3
ہم نہیں,3
کیوں کر,3
میرے دل,3
آرزو توڑا,3
حال ہر,3
کوئی غم,3
قطرہ نہ,3
برق خرمن,3
دوا نہ,3
ہیں اب,3
پوچھے تم,3
سو طوفاں,3
میں اے,3
آج ہم,3
میری نعش,3
ہم لوگ,3
حسرت زدہ,3
سہی گر,3
تھا دفینہ,3
ہیں آج,3
تھا شوق,3
بھی تو,3
امام سے,3
رہ گزر,3
تھا عشقِ,3
قدم میرا,3
قرض اس,3
ہیں بسکہ,3
ہیں جہاں,3
ہیں تیرے,3
نازک پہ,3
سو پریشاں,3
کا بہ,3
معلوم لیکن,3
اندوہِ عشق,3
دو کہ,3
دیدہ و,3
کا بندہ,3
نیند کیوں,3
معلوم آہ,3
نیم باز,3
سو وہ,3
گزر گیا,3
قسمت کی,3
ناز کا,3
میں اور,3
جگر کو,3
و مستی,3
نہ بابِ,3
مر جائیں,3
سے نکلا,3
رنگ سے,3
جانتے تھے,3
جانتا ہے,3
گہر کو,3
مرنے پہ,3
گم کیا,3
ہوا کس,3
سے نہیں,3
و تاب,3
و بے,3
پہ کسی,3
ہوا پایا,3
میں منہ,3
و بو,3
گم کیجے,3
ہوا نہ,3
و بند,3
گم گشتہ,3
بہ یک,3
پہ ہم,3
بات کہ,3
میں مرا,3
رنگ شکستہ,3
رنگ میں,3
گلشن میں,3
