unigram,unigram_frequency
ہے,803
میں,600
سے,496
نہ,394
کو,371
کہ,330
کا,325
کے,304
نہیں,286
و,279
کی,268
تو,267
دل,246
کیا,240
تھا,213
ہو,210
ہیں,200
وہ,194
بھی,191
نے,177
یہ,172
ہوں,158
ہم,151
جو,149
اس,131
بے,124
پر,112
ہوا,110
کر,106
پہ,100
کیوں,98
اور,94
کوئی,90
ہر,87
ہوتا,81
گیا,79
جس,72
ہی,69
اے,68
مجھے,65
کچھ,64
پھر,62
کس,62
غالب,61
عشق,61
گل,60
غم,59
کہیں,58
اگر,56
گر,55
اب,54
ایک,53
اک,53
خدا,53
بہ,51
سر,49
یا,49
آیا,48
میری,48
ہوئے,46
مجھ,46
کبھی,45
نظر,43
جہاں,43
ہوگا,43
مرے,43
وفا,42
تھے,42
ہائے,41
میرے,40
رنگ,40
خیال,39
پایا,39
میرا,39
تم,39
ھے,39
نکلا,38
یوں,38
یار,37
گے,37
یک,36
آئے,35
آتی,35
خاک,35
جب,35
دیکھ,35
رہا,34
لیے,33
آج,33
مگر,33
شب,33
گزر,33
تک,33
کرے,32
درد,31
ان,31
اسد,31
یاں,31
آخر,30
در,30
تیرے,30
خوں,30
تیرا,30
یاد,30
کہاں,30
غیر,29
اپنے,29
آ,29
بات,29
دیا,28
دوست,28
تھی,28
اُس,28
غالبؔ,28
سہی,28
ترے,28
مے,27
لیکن,27
جگر,27
گا,27
رہے,27
شوق,27
ناز,26
تیری,26
کم,26
تجھ,26
وہی,26
گھر,26
ہاتھ,26
جاں,26
ہوئی,25
آگے,25
حسن,25
دے,25
چمن,24
بار,24
ہمیں,23
کام,23
ورنہ,23
کسی,22
اقبال,22
آہ,22
جل,22
عالم,22
جسے,22
رہ,22
دو,22
رات,21
جائے,21
تری,21
چاہیے,21
واں,21
طرح,21
راہ,21
بہت,20
سو,20
اپنی,20
آرزو,20
زخم,20
سب,20
آپ,20
کئے,20
مر,20
جنوں,19
باقی,19
قدر,19
لب,19
راز,19
دیکھا,19
دن,19
مری,19
دم,19
تمنا,19
یہی,19
ابھی,19
کرتا,19
کہتے,19
گئیں,19
سمجھا,18
زندگی,18
خود,18
بہار,18
اسے,18
ساتھ,18
دنیا,18
ستم,18
شمع,18
خانہ,18
کریں,18
گئی,18
بزم,18
بادہ,17
اسی,17
لے,17
خواب,17
لگا,17
منہ,17
پسند,17
بنے,17
آتا,17
سوز,17
تماشا,17
حق,17
تا,17
رہی,16
دیکھتے,16
اسدؔ,16
غمِ,16
کون,16
موت,16
جان,16
حال,16
اپنا,16
مرد,16
رب,16
بھر,16
تن,16
مرا,16
سمجھ,16
نگاہ,16
کھلا,16
ترا,15
آئیں,15
قدم,15
تیغ,15
نفس,15
آئینہ,15
موج,15
چلے,15
زمانہ,15
گی,15
پهر,15
سکتا,15
قاتل,15
نقش,14
رکھ,14
انداز,14
محبت,14
دی,14
نکلے,14
صبح,14
جوشِ,14
قیامت,14
دوا,14
وحشت,14
بیاباں,14
وقت,14
ہزار,14
لیا,14
جائیں,14
مقام,14
طلب,14
ء,14
پوچھ,14
بنا,13
آتش,13
عمر,13
نام,13
گئے,13
حجاب,13
روشن,13
تیز,13
کرتے,13
آب,13
داغ,13
ساقی,13
جاتی,13
باد,13
ہوتے,13
صد,12
مشکل,12
اہلِ,12
حسرت,12
برا,12
ذوق,12
معلوم,12
مرگ,12
آساں,12
خبر,12
گم,12
خوش,12
بن,12
لوگ,12
پاس,12
زباں,12
پیدا,12
وگرنہ,12
چارہ,12
دار,12
بند,12
جانتا,12
رو,12
نالہ,12
دست,12
صحرا,12
آزاد,12
دریا,12
لالہ,12
کہا,11
دماغ,11
فقط,11
لگے,11
مستی,11
دور,11
انتظار,11
آزما,11
